FTITLE,FDESC,TYPE
红色地毯黑色梦,华灯初上的香港，异彩纷呈的模特决赛吸引了众人的目光。清新美丽的模特李菲菲已经被宣布为冠军得主，就在她的纤细的手指触到奖杯的一刹那，意外发生了，关于她丑闻的传单在会场中如雪片飘扬，李菲菲的冠军梦也随风而逝…… 　　蓝浩经过香港著名融资专家宋东明介绍认识了余倩倩。余倩倩带给蓝杰很多创作灵感。蓝杰父亲早逝，与母亲相依为命，一次偶然机会，得知自己身世，百感交集。蓝浩最终如何面对亲情与正义？宋东明和余倩倩的交锋结局如何？蒋冰冰是否能用谅解代替她三十年的仇恨？而杜佩瑶是否会改变她永不放弃的个性？一直注意着事态发展的警察是否找到了罪恶的软肋？……所有的一切，都在一所历经风雨的老宅，在一个回荡着祥和圣诞钟声的夜晚，在爱与死、忏悔与期待交织的碰撞中渐渐清晰，并萦绕于怀。,"犯罪,生活,情感"
和你一起飞,邱尚伟是一个商界成功人士，他与陶立军同时爱上了肖雪。但由于巫刚性格矜持、内敛，一直在压抑自己的情感，不敢向肖雪表露。“喜剧大王”林永健在剧中充当了沙溢的表舅。为了帮助外甥追上心爱的姑娘，他甚至不惜亲自出面“搅局”。但感情的事掺不得半点假，在一场突如其来的车祸中，肖雪终于明白自己的真爱，与邱尚伟走到了一起。,"生活,情感"
酸甜苦辣小夫妻,医生王凯旋与设计咨询师田丽丽是一对生活幸福的小夫妻。王家老房子突然被划入重点小学“学区房”，丈母娘原本就对他俩婚房首付是老田家出的这事不满，正好借让外孙鸣鸣可以上重点小学，把原来答应的房子过户到凯旋和丽丽的名下。王凯旋的弟弟王凯歌与妻子分分合合，王凯旋在老爸、弟弟、老婆、丈母娘之间周旋，一度也游刃有余。但没想到大学女友ECHO、青睐自己老婆的合作方老板的相继出现，令王凯旋捉襟见肘，也令原本恩爱的两个人越走越远。最终，王凯旋以百战不殆的精神，左右逢源，用感情和信任战胜了猜忌，用亲情弥合了世俗利益造成的鸿沟。亲人更亲，夫妻深爱。,"生活,情感"
天下有情之天涯路,即将成为新娘的阿红满怀喜悦等待着披上婚纱的神圣的时刻，然而等来的却是未婚夫陶晓夫为朋友而杀人的消息，一年后，他们在狱中举行了婚礼。 　　既要给狱中的丈夫以精神力量，又要支撑一个没有男人的家，十二年的艰辛磨蚀着阿红瘦弱的身体，当晓天请假来到阿红身边时，患了白血病的阿红已经病到在地，她唯一的要求就是希望晓天带着她去看海，看海的路上也并不平坦，阿红用尽生命最后的一滴血，化解了人世间的仇怨，也走完了她艰难无私的一生，该剧宛如日本电视连续剧《血缘》的中国版。,"生活,情感"
东坡家事,千古风流人物苏东坡，诗词书画名传后世，生平轶事亦广为流传。该剧透过“东坡肉”、“苏小妹三难新郎”、“河东狮吼”等多个与苏东坡相关的民间典故、传说，以轻松、幽默的喜剧笔触，带出人间的亲情、人情、爱情、世情，从而刻画出人有悲欢离合，月有阴晴圆缺的人生。,"生活,喜剧,情感,古装"
情商补习班,《情商补习班》是一部全新形式的网络系列幽默剧，该剧借鉴模拟漫画风格，以诙谐幽默的手法讲述王小虎、华沙、徐宝瓶三个都市年轻人啼笑皆非的感情故事。,"生活,喜剧"
皇朝太医,永乐年间，惠帝撤藩燕王朱棣挥军入京，惠帝失踪，朱棣即位为成祖，二十年成祖励精图治，国泰民安。平一姑与其子平常初到京城以假医术骗人赚点小钱！ 平常赌坊遇一名似流浪汉王九三人结伴而行，天命为郑和医病平常佩服王九暗助下投其门下！并和天命得意门生农草堂成为朋友 　　天命之女素问患有性格分裂性，另一身份灵枢素问与平常经常接触二人产生感情；草堂与灵枢也互生情愫。可王九医治素问手术後只留下了灵枢，令平常失去挚爱。王九租捕头粟米房开起医馆天命前来寻不死药。原来，王九当年医神农金匮另一弟子王宵天命发现了平常医学天份将其赶出医馆，平常做了王九首徒一名叫竹利幸福日本人来向天命、王九问道王九取胜幸福拜王九为师幸福认识了自幼无父母由爷爷带大且双目失明小猪寄情众人努力医治下小猪重见光明与幸福也有了圆满结局 　　王九与前来讨租粟米妹妹不足日久生情，可始终难忘已去世天命之妻芍药逃情路上遇昏迷雷蕾带回医治雷蕾到来及其与王九言行令不足醋味十足後雷蕾感激众人照顾下依依不舍离去王九与不足感情有了发展平常大家动员下刻苦习医与草堂一齐参加太医考劾二人皆被录取身为太医平常并不习惯官僚生活 　　一姑发现草堂自己儿子但天命威胁下不敢相认原来当年有恩於一姑农金匮抱其子被追杀一姑感恩将二子对换平常实则医神农金匮之子！草堂得知後却不愿接受事实後一姑为救草堂而死幸福之父竹利义满率日本武士前来要协助蛰伏民间图谋复位惠帝推翻成祖！惠帝并收买了天命与草堂成祖及众臣受害身中剧毒危急关头被平常、幸福救之惠帝功败垂成自尽，灵枢亦记起了素问一切终和平常走到了一起……,"喜剧,情感,古装"
肥姐挂帅,相传燕王朱棣称兵靖难，攻入南京，建文帝仓皇出走，其手下带走一批宫中珍宝，以图复位，由于建文帝下落不明，其手下只好将珍宝埋藏于某处，由三名侍卫之后人世代看守，而此三家之后人，分别掌管宝藏之地图、钥匙及机关之秘密，并约定每二十年相见一次，等待建文帝之后人出现，取回宝藏。时移世易，辗转二百余年，明亡清兴，此宝藏之秘密，除当事人外，已无人得知。 　　康熙年间，平西王吴三桂心存异志，要谋反称帝，偶尔获悉“建文帝宝藏”重现江湖，责令心腹家将铁横江务必寻得宝藏，以作扩充军备之用；但铁横江费尽九牛二虎之力，只查到宝藏肯定与芙蓉城有关，即线索中断。 　　康熙执政，早有铲除吴三桂之心，而据平西王府内之密报，亦得知此事，急派九贝勒暗中侦查，定要抢在前头，以免宝藏落入吴三桂手中。 　　芙蓉城内，”春风得意楼”隆重开业，老板肥姐花满娇带领四大美女春花、夏蝉、秋月、冬雪，使出浑身解数，煮酒迎宾，客似云来，惹起当地土豪路家垂涎，当家路青云率领二子路正及路直前来，欲分一杯羹，岂料反吃了暗亏，铩羽而归。 　　其实满娇大有来头，她本是九贝勒女儿白善依的乳娘，深得九贝勒信任，因出生于芙蓉城，故被委派前来，负责追寻”宝藏”，开设酒楼，只是为了掩人耳目。,"喜剧,情感,古装"
风雨桃花镇,桃花镇龙家酒坊的龙三喜，虽然是个男子，却长得面若桃花，性格软弱，本来只是个不愿意学习酿酒的普通孩子，然而命运将他推进一个个磨难之中，和龙三喜从小亲如兄弟的齐龙从日本留学归来，变成日本人的傀儡，为了掌握龙家酒坊传说中贡酒的秘密，齐龙和日本人狼狈为奸，陷害龙三喜的父亲，龙家酒坊的主人龙世庭，终于将龙世庭和龙家逼上穷途末路，将龙家酒坊侵占。 　　龙三喜在龙家生死存亡之际，挺身而出，为了保卫龙家，保卫贡酒，保卫中国名酒不被侵略者掠夺，展开了和日本人和齐龙的争斗，这同时也是龙三喜磨砺成长的过程，他从一个细皮嫩肉不懂酿酒的漂亮男孩，经历胯下之辱，在齐龙手下忍辱偷生，学会酿酒技术，然后自己重开酒坊，和齐龙分庭抗礼，在被齐龙数次陷害，都大难不死后，终于完成失传多年的龙家贡酒，并且粉碎了齐龙和日本商人的邪恶野心。 　　在故事中和他一路并肩的是曾经为了拯救桃花镇被土匪带走而让众人看不起的传奇女性齐秀秀，以及和他青梅竹马，却又是齐龙侄女的齐凤，让曲折复杂的故事线又带上了丰富的情感色彩。,情感
刁蛮公主,前朝公主司徒静被大将军司徒青云夫妇收养，倍受宠爱。静公主天性活泼开朗、冰雪聪明。她美丽善良，还生就一副侠义心肠。虽是红妆女儿，深宅大院却锁不住她。她最喜欢外面的自由世界，每每扮成男子，游走于市井小巷中，在平民百姓间混得酣畅淋漓。静公主善良无比，时常济弱扶困。加上她以龙少侠自居，我行我素，天马行空，又喜恶作剧，所以三教九流的朋友送她亲昵绰号“小龙虾”。继位不久的年轻皇帝朱允虽少年英武，大智大慧，却有些愁眉不展。朝外有三藩（云南王，齐国公，蓟州侯）势力逐渐坐大隐患，朝中有舅舅文章把持朝政……,"喜剧,情感,古装"
康熙微服私访记 第一部,《康熙微服私访记》讲述一个清朝鼎盛时期皇帝私访的故事、该剧分《犁头记》、《铜鼎记》、《八宝粥记》、《紫砂记》四个故事，共三十集，剧中人物丰富生动，戏剧结构巧妙明快，风格诙谐得当。 　　之一：犁头记 　　打犁头皇帝说重农，为春种县令交税粮。扮花子弄清害民事，拼性命狱中解纷争。 　　之二：铜鼎记 　　丢铜鼎小太监身亡，追医案恶贪官现。查民事大帝私访，破公案惩戒贪虫蠹。 　　之三：八宝粥记 　　用意气满汉臣斗，讲团结苏州卖粥。为罪巳皇帝戴枷，惩恶人民族一家。 　　之四：紫砂记 　　诉冤情壶内藏字，仗先人地方兴风。体民情大帝烧窑，用智慧恶霸伏法。,"喜剧,情感,古装"
新边城浪子,当年神刀门门主白天羽，在边城梅花庵遭人埋伏意外身亡，成为武林一段扑朔迷离的公案。二十年后，傅红雪为了查清父亲遇难的真相，从西域边疆回到了中原。与此同时，白天羽和花白凤的亲生儿子叶开也来到边城。两人历经曲折，终于查明了幕后主使，正是白天羽的结拜兄弟，万马堂堂主马空群。马空群的女儿马芳铃是武林第一美女，性格开朗的叶开爱上了她，可马芳铃却钟情于沉默内向的傅红雪。三个性格迥异的年青人在爱恨之间纠缠，最终在小李飞刀“大爱”的感化下，叶开斩断了傅红雪砍向马空群的刀，原来傅红雪并不是白天羽的儿子。叶开宽恕了马空群，与傅红雪并肩作战，惩恶扬善，扫清了危害武林的毒瘤。,"古装,情感"
欢喜密探,顺治年间，牛大宝一心想与心上人袁玉娥建立家庭，在追求过程中阴差阳错成为了京师总驿站皇华驿一员，而袁玉娥是洪帮的成员。为了保护心上人袁玉娥，牛大宝凭着智慧取得驿长龙定海信任，暗中为化解洪帮与清廷的矛盾上做出努力。在一系列的事件中，他一边保护与自己误结连理的善良青楼女子春花，一边运用他的智谋破坏了皇华驿的一系列阴谋，除掉了罪恶深重阴险狡诈的茅罡、一口鸟等密探。经历一番风雨洗礼后，牛大宝终于从一个普通的市井小民成长为有智谋、有胆略、有正义感的义士，通过他的努力，让老百姓避免了遭受一场战乱之苦。,"喜剧,古装"
人生场之有点人生,人生场之有点人生——史上最具情怀段子剧，每次五至十分钟的这点碎时光，制造出漫长人生中的那点小确幸。惊绝的语言、明快的风格、强节奏的反转、小情怀的内核，以人生的情场、职场、商场等不同维度切入，以黑色幽默的喜剧风格呈现，玩味人生的同时渗透人文，开创所谓“段子剧”的3.0时代。,喜剧
大锤来了,《大锤来了》第一季共12集，每集由多个搞笑故事组成，男主角“大锤”通过千变万化的职业或身份为观众演绎生活中的搞笑故事。剧情的内容包罗万象，从时下热门的流行话题到生活中的爆笑故事，用独特的视角、幽默的语言为观众演绎无法预料的爆笑情节。,喜剧
看我怎么收拾你,主演：赵鸿刚、裴晗 【 2016-6-3-14：10】,喜剧
青云志 未删减版,草庙村少年张小凡，在经历全村尽灭的惨案后，被青云门收归门下。为报答师门恩情，张小凡勤学苦练，却因自身驽钝，一无所成。陷入迷茫与孤独境遇中的他，幸有鬼王之女碧瑶和好友林惊羽从旁安慰陪伴，度过了人生最彷徨的阶段。 　　一次次的坎坷磨难中张小凡逐渐成长，而与碧瑶的感情，也在患难与共中日渐深厚。然而，鬼王为复活兽神并颠覆青云，设下连环阴谋。张小凡悍然迎敌，就在命悬一刻之际，碧瑶舍身为他挡下致命的一剑，重伤昏迷，张小凡带着沉睡的碧瑶流浪世间。鬼王卷土重来，最终，张小凡以强大的勇气和信念，挫败鬼王，消弭了正反两派纠葛千年的过节，完成了少年时与碧瑶、林惊羽一众同伴们的约定。在少年们的共同努力之下，终换得山河锦绣如画，沃土千里绵延。,"古装,奇幻"
大武生,"光绪大婚，“同庆班”进宫献艺。武生马小田受到慈禧激赏，赐名“马啸天”.早已迷上马啸天的沁亲王家四格格，趁戏毕赐宴的机会，男装论戏，与醉倒马啸天春风一度…… 　　马啸天逃出戏班，辗转到了上海丹桂戏园唱戏！上海小姐柳淑萍也深深地迷上了马啸天，她的叔父乃沪上富商，看不上一个唱戏的，诬马啸天“拐带良家女子”。衙门拘传，大清律例，“良贱不婚”。淑萍说：明末清初评书艺人柳敬亭是自己先祖，甘愿重操祖业，求个“贱贱相配”。上海知县视她为沪上奇女，成全了这对婚姻。 　　六格格从《申报》上读到新闻，挺着大肚子赶到上海交涉。沁王爷派出快马，责成上海知县以“偷盗王府宝物罪”拘捕了马啸天，判成“终身监禁”。两个女人牢房相见。柳淑萍进京向“马迷”慈禧诉冤，慈禧责令立即接回马啸天。        维新变法，“精忠庙首”马啸天把义演得来的巨款交给维新人士.他发愤教七岁的龙儿读书、学戏。四格格的儿子虎子比淑萍生的龙儿大两岁，早已是个小戏迷了，偏偏马啸天不收他。马啸天奉诏进颐和园，看到光绪皇帝哭着出来，时隔数日，维新人士找上门来，要他进宫演戏时给皇帝送密信。为了皇上，马啸天豁出去了，把密件塞在晶玉扳指里夹带进宫。光绪又让他把密诏夹带出来。 　　沁亲王写了密折，告发马啸天是“康党”，马啸天硬着头皮进宫，慈禧劈头骂他“康党”！他以憨相应对躲过一劫。虎子和龙儿要在天津飚戏，争夺“小啸天”这个响亮的艺名。 　　袁克文到苏州置办“行头”，结识了会唱皮黄的雏妓薛瑶琴，有心娶她，却被其父袁世凯夺了去，纳为十三姨太。在戏园老板的撺掇下，14岁的薛瑶琴留在天津与13岁的龙儿搭档,薛瑶琴把个少年马翼龙弄得神魂颠倒！飚戏加上与薛瑶琴日夜厮混，元气大损，抽起了大烟！早早地倒了嗓。儿子不能就这样完了，皮黄要有后继之人，马啸天他狠下决心锁起门来，陪着儿子一起戒烟！ 　　太后和皇帝仓皇西逃，马啸天第二次到上海，人气极旺，不幸摔断了腿。接骨错位，马啸天“戏大如天”，执意拉开重接。戏园老板让录制唱片。样片送来，听出其中有个字眼念错了尖团音，马啸天坚持重录，老板不干。马啸天用自己的钱买下了自己的所有唱片，一张不留，全部砸碎！ 　　袁世凯大总统命克文把“伶界大王”马啸天从上海请回北京。总统府以20块大洋一场堂会的价码包下马啸天，条件是：随叫随到。马啸天不肯就范，袁大公子克定把马啸天抬为“国宝”，除总统府外，任何戏园不得擅自邀其登台。一身绝技的马啸天被晾起来了！弄到典当度日的地步。 　　龙儿穿上了总统府侍卫的军装。马啸天在儿子身上费尽心血，儿子居然抛弃了皮黄！父子激争，反目决裂。 　　龙儿在总统府与薛瑶琴不期而遇，少年时疯狂的姐弟恋，此时死灰复燃。袁世凯一番警告之后把龙儿提为副官，不让他走出自己的视线。 　　袁世凯与日本签订二十一条卖国条约的丑事被揭秘，“铁血团”成员虎子，向袁世凯扔了炸弹献出了年轻的生命。 　　袁世凯为图吉利，逼病中的马啸天在自己登基前夕演出《大登殿》。马啸天悲恸于虎子之死，更羞于为窃国之贼所用，托病拒演，被强行弄入总统府。没料到他的开场戏唱的是《击鼓骂曹》，很多词儿是针对袁贼临场现编的，越唱越激愤，唱得鲜血直迸、昏死在台上。 　　云南宣告独立，讨伐袁世凯！袁世凯死了，粉墨王侯马啸天含笑闭上了眼睛……",古装
我是红军,鸭脚坝少当家聂九，为报杀父之仇，被迫与爱人沈忆萍分离。聂九一路追杀云南军阀聂玉珩至兆阳关，巧遇同被聂玉珩追杀的一名红军战士。红军战士误以为聂九同是红军，临终托付他一个藏有重要情报的怀表。如今，多方势力汇于兆阳关，国民党复兴社特务白汝樵利用在红军高层安插的内奸“狸猫”的情报，大肆捣毁红军通讯情报小组。当地军阀与国民党部队貌合神离，表面积极剿共，实则另有打算。红军小部队成员薛济同、沈忆萍等则借机向军阀“借道”，使大部队顺利通过。聂九与沈忆萍在兆阳关重逢，为保护爱人，聂九率众兄弟将红军小部队送往大部队，并在金沙江畔加入红军，一同长征。一路上，聂九小分队抓内奸、救人质，出色完成任务，而聂九也经历了从复仇者到革命者的转变，成长为一名真正的红军战士。,历史
红色护卫,红军第五次反围剿失败后，在苏白边境的一个哨卡，红军运输队惊险骗过岗哨，这支队伍由红色采办员陈子萱带领，队伍里有杨建邦这样的老红军，也有来凑热闹的富家子弟戴向韬，他们从南洋采购物资和筹集银元，一路辗转从香港运到江西境内，目的地正是苏区中央银行外贸特科的专属仓库所在地。国军军官周岳庭从副官处拿到了骗关者的证件后头疼不已，这个骗关的运输队长不是别人，正是自己逃婚的未婚妻陈子萱。红军运输队到达定西村，却发现整个定西村已是一片废墟，红军大部队已经撤离。而此时周岳庭率领国民党军队包围了定西村，发誓要亲自抓住这只神出鬼没的队伍。如何处理手里的物资和银元成为棘手问题，陈子萱决定继续带着物资追赶大部队，把物资和银元交给上级。正是她的锲而不舍，才使得她成为这支队伍的“北极星”，光荣完成使命。,"军旅,历史"
绝命后卫师,1934年，在红军长征期间，红三十四师作为红军的后卫部队，担任着在长征路上掩护红军主力部队突围的任务。为了突破国民党军第四道封锁线，一支全由闽西客家子弟组成的红五军团第三十四师，与数十倍于红军的国民党军浴血奋战。在掩护主力红军突破湘江的惨烈战斗中，红五军团第三十四师6000余人全军覆没，他们为中国革命史留下了气壮山河的惨烈篇章。,"军旅,历史"
寒山令,1938年，南京沦陷，日军驻苏州司令官松井觊觎寒山寺镇寺之宝“枫桥夜泊”诗碑，欲将其掠回日本献给天皇。从南京保卫战死里逃生的上等兵俞显扬，为报灭门深仇，一路追凶来到苏州。俞显扬凭借过人胆气和出众枪法，接二连三狙杀日寇，打破了松井的如意算盘。然而，在松井的一再胁迫下，“枫桥夜泊”诗碑还是落在了日寇手中。为夺回国宝，也为配合即将打响的武汉保卫战，一道“杀敌护宝”的“寒山令”传彻苏南大地...,"军旅,历史"
